pair,count
app | gemini,12
billion | revenues,10
growth | strong,9
comes | question,9
pichai | sundar,8
growth | search,8
billion | increased,8
ceo | sundar,7
ceo | pichai,7
enterprise | gemini,7
growth | revenue,7
driven | growth,7
hardware | tpu,7
philipp | schindler,6
mode | search,6
demand | strong,6
cloud | enterprise,6
philipp | svp,6
seeing | we're,6
billion | operating,6
demand | seeing,6
search | think,6
anat | ashkenazi,5
backlog | revenue,5
driven | primarily,5
gemini | search,5
app | search,5
it's | just,5
ahead | looking,5
gemini | mode,5
new | search,5
margin | operating,5
cbo | philipp,5
schindler | svp,5
cbo | schindler,5
cbo | svp,5
driven | revenues,5
driven | search,5
advertising | revenues,5
ads | gemini,5
billion | income,5
sales | tpu,5
think | way,5
question | second,5
going | we're,5
friedland | jim,4
philipp | sundar,4
experiences | search,4
mode | overviews,4
overviews | search,4
