term,count
search,54
cloud,48
gemini,43
think,43
billion,38
growth,33
question,29
just,29
we're,29
new,27
models,25
customers,25
agentic,24
revenue,23
sundar,22
performance,22
strong,21
demand,21
youtube,21
driven,19
really,19
ads,19
infrastructure,18
revenues,18
like,17
philipp,17
seeing,17
continue,17
mode,16
it's,16
enterprise,16
services,16
way,16
backlog,15
app,15
increase,15
ahead,14
we've,14
user,14
second,14
obviously,14
anat,13
overall,13
use,13
open,13
data,13
increased,13
including,12
users,12
tpus,12
